size(sqft),parking_lot,rooms,price(ksh),year_built
1300.236407,2,3,344700,2010
1275,3,4,176500,2011
933.1597222,4,5,270500,2013
929.9211427,2,4,330000,2022
999.009247,1,6,81700,2024
1250,3,5,67000,2023
1495.053957,4,6,67000,2024
1181.012946,3,7,166900,2022
1040,2,6,194400,2014
879.1208791,3,7,164200,2016
1350.308642,4,5,125000,2019
1333.010179,3,6,58300,2023
927.1779023,2,4,252600,2024
1122.171946,3,5,231200,2023
649.9837504,2,4,222500,2023
1394.117647,4,6,153100,2023
1800.08471,3,5,181300,2024
2124.896706,4,6,137500,2023
1100,2,7,300000,2022
2178.649237,1,8,414300,2021
881.1435285,2,7,126300,2021
944.8818898,3,6,83400,2021
1310.147689,4,7,241500,2021
630.00063,3,8,115400,2012
1219.80971,2,9,150700,2023
780.141844,3,8,484700,2012
1600,4,7,250000,2021
1180.412371,3,5,369200,16-Jul
1000,2,4,350000,2021
1000,3,5,425000,2014
1400.107701,4,6,105600,2018
943.1266076,3,7,172600,2019
1150.146382,2,5,128900,2010
864.0674394,4,7,141800,2010
857.7861968,3,2,183800,2010
1174.210077,2,4,178700,2010
1020.087884,3,5,270800,2023
1650.165017,2,6,185300,2023
1000,2,4,141500,2024
1300.052002,3,5,232200,2023
40606.19568,3,3,83300,2022
1058.114928,4,5,275000,2024
400,3,5,500001,2010
1274.924779,2,4,79300,2009
1026.694045,2,3,214800,2010
1150.121065,1,4,237500,2024
1200,2,5,212500,2024
475.0103263,1,3,105700,2023
301.9171163,2,5,123800,2022
1228.571429,1,3,173900,2023
986.0164934,2,6,160900,2023
1972.565158,1,5,47500,2022
420.6166888,2,7,156500,2023
1275.009808,3,5,187500,2023
406.024219,3,3,191800,2024
1862.562189,4,5,175800,2024
950.0146156,3,3,91900,2023
5200.945626,4,5,196900,2024
1049.969344,3,3,292200,2022
1615.008157,4,2,194300,2021
1150.0069,2,4,289400,2021
1100,3,3,229100,2022
906.2661833,4,4,265500,2021
1454.333915,2,2,77800,2024
1591.994542,4,4,289600,2014
573.8769151,1,4,291400,2014
1038.883942,3,5,129300,2013
1538.141758,2,6,233500,2019
5000,4,4,120700,2019
1602.084012,2,3,174300,2010
1200,1,5,299500,11-Feb
760.07094,2,7,125000,2012
739.8273736,1,4,212500,2011
1260.02291,3,7,316900,2016
1100.151745,1,5,157300,2015
2293.077091,4,8,160700,1016
